name,h,b,tw,tf,r,d,A,G,Iy,Wy,iiy,Iz,Wz,iiz
HEA100,96,100,5,8,12,56,21.2,16.7,349,72.8,4.06,134,26.8,2.51
HEA120,114,120,5,8,12,74,25.3,19.9,606,106,4.89,231,38.5,3.02
HEA140,133,140,5.5,8.5,12,92,31.4,24.7,1030,155,5.73,389,55.6,3.52
HEA160,152,160,6,9,15,104,38.8,30.4,1670,220,6.57,616,76.9,3.98
HEA180,171,180,6,9.5,15,122,45.3,35.5,2510,294,7.45,925,103,4.52
HEA200,190,200,6.5,10,18,134,53.8,42.3,3690,389,8.28,1340,134,4.98
HEA220,210,220,7,11,18,152,64.3,50.5,5410,515,9.17,1950,178,5.51
HEA240,230,240,7.5,12,21,164,76.8,60.3,7760,675,10.8,2770,231,6
HEA260,250,260,7.5,12.5,24,177,86.8,68.2,10450,836,11,3670,282,6.5
HEA280,270,280,8,13,24,196,97.3,76.4,13670,1010,11.9,4760,340,7
HEA300,290,300,8.5,14,27,208,113,88.3,18260,1260,12.7,6310,421,7.47
HEA320,310,300,9,15.5,27,225,124,97.6,22930,1480,13.6,6990,466,7.51
HEA340,330,300,9.5,16.5,27,243,133,105,27690,1680,14.4,7740,496,7.46
HEA360,350,300,10,17.5,27,261,143,112,33090,1890,15.2,7890,526,7.43
HEA400,390,300,11,19,27,298,159,125,45070,2310,16.8,8560,571,7.34
HEA450,440,300,11.5,21,27,344,178,140,63720,2900,18.9,9470,631,7.29
HEA500,490,300,12,23,27,390,198,155,86970,3550,21,10370,691,7.24
HEA550,540,300,12.5,24,27,438,211.8,166,111932,4150,23,10819,721,7.15
HEA600,590,300,13,25,27,486,226.6,178,141208,4790,25,11271,751,7.05
HEA650,640,300,13.5,26,27,534,241.6,190,175178,5470,26.9,11724,782,6.97
HEA700,690,300,14.5,27,27,582,260.5,204,215301,6240,28.8,12179,812,6.84
HEA800,790,300,15,28,30,674,285.8,224,303442,7680,32.6,12639,843,6.65
HEA900,890,300,16,30,30,770,320.5,252,422075,9480,36.3,13547,903,6.5
HEA1000,990,300,16.5,31,30,868,346.8,272,553846,11190,40,14004,934,6.35
