name,h,b,tw,tf,r,d,A,G,Iy,Wy,iiy,Iz,Wz,iiz
HEB100,100,100,6,10,12,56,26,20.4,450,89.9,4.16,167,33.5,2.53
HEB120,120,120,6.5,11,12,74,34,26.7,864,144,5.04,318,52.9,3.06
HEB140,140,140,7,12,12,92,43,33.7,1510,216,5.93,550,78.5,3.58
HEB160,160,160,8,13,15,104,54.3,42.6,2490,311,6.78,889,111,4.05
HEB180,180,180,8.5,14,15,122,65.3,51.2,3830,426,7.66,1360,151,4.57
HEB200,200,200,9,15,18,134,78.1,61.3,5700,570,8.54,2000,200,5.07
HEB220,220,220,9.5,16,18,152,91,71.5,8090,736,9.43,2840,258,5.59
HEB240,240,240,10,17,21,164,106,83.2,11260,938,10.3,3920,327,6.08
HEB260,260,260,10,17.5,24,177,118,93,14920,1150,11.2,5130,395,6.58
HEB280,280,280,10.5,18,24,196,131,103,19270,1380,12.1,6590,471,7.09
HEB300,300,300,11,19,27,208,149,117,25170,1680,13,8560,571,7.58
HEB320,320,300,11.5,20.5,27,225,161,127,30820,1930,13.8,9240,616,7.57
HEB340,340,300,12,21.5,27,243,171,134,36660,2160,14.6,9690,646,7.53
HEB360,360,300,12.5,22.5,27,261,181,142,43190,2400,15.5,10140,676,7.49
HEB400,400,300,13.5,24,27,298,198,155,57680,2880,17.1,10820,721,7.4
HEB450,450,300,14,26,27,344,218,171,79890,3550,19.1,11720,781,7.33
HEB500,500,300,14.5,28,27,390,239,187,107200,4290,21.2,12620,842,7.27
HEB550,550,300,15,29,27,438,254.1,199,136691,4 970,23.2,13077,872,7.17
HEB600,600,300,15.5,30,27,486,270,212,171041,5790,25.2,13350,902,7.08
HEB650,650,300,16,31,27,534,286.3,225,210616,6480,27.1,13984,932,6.99
HEB700,700,300,17,32,27,582,306.4,241,256888,7340,29,14441,963,6.87
HEB800,800,300,17.5,33,30,674,334.2,262,359083,8980,32.8,14904,994,6.68
HEB900,900,300,18.5,35,30,770,371.3,291,494065,10980,36.5,15816,1050,6.53
HEB1000,1000,300,19,36,30,868,400,314,664748,12890,40.1,16276,1090,6.38
