name,h,b,tw,tf,r,d,A,G,Iy,Wy,iiy,Iz,Wz,iiz
HEM100,120,106,12,20,12,56,53.2,41.8,1143,190,4.63,399,75,2.74
HEM120,140,126,12.5,21,12,74,66.4,52.1,2018,288,5.51,703,112,3.25
HEM140,160,146,13,22,12,92,80.6,63.2,3291,411,6.39,1144,157,3.77
HEM160,180,166,14,23,15,104,97.1,76.2,5098,566,7.25,1759,212,4.26
HEM180,200,186,14.5,24,15,122,113.3,88.9,7483,748,8.13,2580,277,4.77
HEM200,220,206,15,25,18,134,131.1,103,10642,967,9,3651,354,5.27
HEM220,240,226,15.5,26,18,152,149.4,117,14605,1220,9.89,5012,444,5.79
HEM240,270,248,18,32,21,164,199.6,157,24289,1800,11,8153,657,6.39
HEM260,290,268,18,32.5,24,177,219.6,172,31307,2160,11.9,10449,780,6.9
HEM280,310,288,18.5,33,24,196,240.2,189,39547,2500,12.8,13163,914,7.4
HEM300,340,310,21,39,27,208,303.1,238,59201,3480,14,19403,1250,8
HEM320,359,309,21,40,27,225,312,245,68135,3800,14.8,19709,1280,7.95
HEM340,377,309,21,40,27,243,315.8,248,76372,4050,15.6,19711,1280,7.9
HEM360,395,308,21,40,27,261,318.8,250,84867,4300,16.3,19522,1270,7.83
HEM400,432,307,21,40,27,298,325.8,256,104119,4820,17.9,19335,1260,7.7
HEM450,478,307,21,40,27,344,335.4,263,131484,5500,19.8,19339,1260,7.59
HEM500,524,306,21,40,27,390,344.3,270,161929,6180,21.7,19155,1250,7.46
HEM550,572,306,21,40,27,438,354.4,278,197984,6920,23.6,19158,1250,7.35
HEM600,620,305,21,40,27,486,363.7,285,237447,7660,25.6,18975,1240,7.22
HEM650,668,305,21,40,27,534,373.7,293,281667,8430,27.5,18979,1240,7.13
HEM700,716,304,21,40,27,582,383,301,329278,9200,29.3,18797,1240,7.01
HEM800,814,303,21,40,30,674,404.3,317,442598,10870,33.1,18627,1230,6.79
HEM900,910,302,21,40,30,770,423.6,333,570434,12540,36.7,18452,1220,6.6
HEM1000,1008,302,21,40,30,868,442.2,349,722299,14330,40.3,18459,1220,6.45
