name,h,b,tw,tf,r,d,A,G,Iy,Wy,iiy,Iz,Wz,iiz
IPE80,80,46,3.8,5.2,5,59.6,7.64,6,80.14,20.03,3.24,8.49,3.69,1.05
IPE100,100,55,4.1,5.7,7,74.6,10.32,8.1,171,34.2,4.07,15.9,5.79,1.24
IPE120,120,64,4.4,6.3,7,93.4,13.2,10.4,318,53,4.9,27.7,8.65,1.45
IPE140,140,73,4.7,6.9,7,112.2,16.4,12.9,541,77.3,5.74,44.9,12.3,1.65
IPE160,160,82,5,7.4,9,127.2,20.1,15.8,869,109,6.58,68.3,16.7,1.84
IPE180,180,91,5.3,8,9,146,23.9,18.8,1320,146,7.42,101,22.2,2.05
IPE200,200,100,5.6,8.5,12,159,28.5,22.4,1940,194,8.26,142,28.5,2.24
IPE220,220,110,5.9,9.2,12,177.6,33.4,26.2,2770,252,9.11,205,37.3,2.48
IPE240,240,120,6.2,9.8,15,190.4,39.1,30.7,3890,324,9.97,284,47.3,2.69
IPE270,270,135,6.6,10.2,15,219.6,45.9,36.1,5790,429,11.2,420,62.2,3.02
IPE300,300,150,7.1,10.7,15,248.6,53.8,42.2,8360,557,12.5,604,80.5,3.35
IPE330,330,160,7.5,11.5,18,271,62.6,49.1,11770,713,13.7,788,98.5,3.55
IPE360,360,170,8,12.7,18,298.6,72.7,57.1,16270,904,15,1040,123,3.79
IPE400,400,180,8.6,13.5,21,331,84.5,66.3,23130,1160,16.5,1320,146,3.95
IPE450,450,190,9.4,14.6,21,378.8,98.8,77.6,33740,1500,18.5,1680,176,4.12
IPE500,500,200,10.2,16,21,426,116,90.7,48200,1930,20.4,2140,214,4.31
IPE550,550,210,11.1,17.2,24,467.6,134,106,67120,2440,22.3,2670,254,4.45
IPE600,600,220,12,19,24,514,156,122,92080,3070,24.3,3390,308,4.66
