name,h,b,tw,r2,d,l,A,G,Iy,Wy,iiy,Iz,Wz,iiz,tf,r1
UPN80,80,45,6,4,46,1.45,11,8.64,106,26.5,3.1,19.4,6.36,1.33,8,8
UPN100,100,50,6,4.5,64,1.55,13.5,10.6,206,41.2,3.91,29.3,8.49,1.47,8.5,8.5
UPN120,120,55,7,4.5,82,1.6,17,13.4,364,60.7,4.62,43.2,11.1,1.59,9,9
UPN140,140,60,7,5,98,1.75,20.4,16,605,86.4,5.45,62.7,14.8,1.75,10,10
UPN160,160,65,7.5,5.5,115,1.84,24,18.8,925,116,6.21,85.3,18.3,1.89,10.5,10.5
UPN180,180,70,8,5.5,133,1.92,27,22,1350,150,6.95,114,22.4,2.02,11,11
UPN200,200,75,8.5,6,151,2.01,32.2,25.3,1910,191,7.7,148,27,2.14,11.5,11.5
UPN220,220,80,9,6.5,167,2.14,37.4,29.4,2690,245,8.48,197,33.6,2.3,12.5,12.5
UPN240,240,85,9.5,6.5,184,2.23,42.3,33.2,3600,300,9.22,248,39.6,2.42,13,13
UPN260,260,90,10,7,200,2.36,48.3,37.9,4820,371,9.99,317,47.7,2.56,14,14
UPN280,280,95,10,7.5,216,2.53,53.3,41.8,6280,448,10.9,399,57.2,2.74,15,15
UPN300,300,100,10,8,232,2.7,58.8,46.2,8030,535,11.7,495,67.8,2.9,16,16
